	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1
0	1	0.25	0.0123457	0.333333	0.111111	0.0625	0.2	0.0833333	0.111111	0.0625
1	0.0277778	0.25	0.111111	0.037037	0.037037	0.25	0.2	0.0666667	1	0.25
2	0.25	0.0833333	0.333333	0.111111	0.037037	0.25	0.1	1	0.0277778	0.0833333
3	0.25	0.25	0.037037	0.037037	1	0.25	0.0666667	0.0833333	0.0277778	0.25
4	0.0833333	0.0833333	0.111111	1	0.333333	0.0625	0.0666667	0.0666667	0.111111	0.0625
5	0.0833333	0.125	1	0.333333	0.111111	0.125	0.2	0.0666667	0.111111	0.125
6	0.0833333	0.0416667	0.037037	0.037037	0.111111	1	0.0222222	0.333333	0.333333	0.0625
7	0.0833333	0.0416667	0.0123457	0.166667	0.0555556	0.0625	1	0.333333	0.333333	0.25
8	0.0277778	0.125	0.333333	0.037037	0.333333	0.0833333	0.2	0.0666667	0.0277778	1
9	0.25	1	0.0555556	0.111111	0.111111	0.0833333	0.0222222	0.0833333	0.111111	0.0833333
